actual,proposed
0.034712374210357666,0.0
0.042439479380846024,0.0
0.04572610557079315,0.0
0.040277235209941864,0.0
0.030574148520827293,0.0
0.029749134555459023,0.0
0.04203343018889427,0.0
0.04980923980474472,0.10032974183559418
0.053143613040447235,0.10077724605798721
0.05210097134113312,0.10124117881059647
0.05546088144183159,0.10168898105621338
0.05880187451839447,0.10215353220701218
0.06212584301829338,0.10263445228338242
0.0523567870259285,0.10313130170106888
0.05147133022546768,0.10354682058095932
0.05498243495821953,0.10394828766584396
0.04975228011608124,0.10436850786209106
0.044619932770729065,0.10474244505167007
0.04394059255719185,0.10507163405418396
0.03893176466226578,0.10538989305496216
0.03401174023747444,0.10566534847021103
0.024817639961838722,0.10589941591024399
0.015765562653541565,0.10606125742197037
0.011207487434148788,0.10615319758653641
0.006718310993164778,0.10620976239442825
0.0,0.10623209178447723
0.0,0.1061890497803688
0.0,0.10608270019292831
0.0,0.10594730079174042
0.0,0.10575153678655624
0.0,0.10546498745679855
0.0,0.10512281954288483
0.0,0.10475892573595047
0.0,0.10437407344579697
0.0,0.10396871715784073
0.0,0.10354349762201309
0.0,0.10306669771671295
0.0,0.10250749439001083
0.0,0.10186861455440521
0.0,0.1011524498462677
0.0,0.10036104917526245
